codine;Municipio
03001;Adsubia
03002;Agost
03003;Agres
03004;Aigues
03005;Albatera
03006;Alcalali
03007;Alcocer de Planes
03008;Alcoleja
03009;Alcoy/Alcoi
03010;Alfafara
03011;Alfas del Pi, l
03012;Algorfa
03013;Alguena
03014;Alacant/Alicante
03015;Almoradi
03016;Almudaina
03017;Alqueria dAsnar, l
03018;Altea
03019;Aspe
03020;Balones
03021;Banyeres de Mariola
03022;Benasau
03023;Beneixama
03024;Benejuzar
03025;Benferri
03026;Beniarbeig
03027;Beniarda
03028;Beniarres
03029;Benigembla
03030;Benidoleig
03031;Benidorm
03032;Benifallim
03033;Benifato
03034;Benijofar
03035;Benilloba
03036;Benillup
03037;Benimantell
03038;Benimarfull
03039;Benimassot
03040;Benimeli
03041;Benissa
03042;Benitachell/Poble Nou de Benitatxell, el
03043;Biar
03044;Bigastro
03045;Bolulla
03046;Busot
03047;Calp
03048;Callosa dEn Sarria
03049;Callosa de Segura
03050;Campello, el
03051;Campo de Mirra/Camp de Mirra, el
03052;Canada
03053;Castalla
03054;Castell de Castells
03055;Catral
03056;Cocentaina
03057;Confrides
03058;Cox
03059;Crevillent
03060;Quatretondeta
03061;Daya Nueva
03062;Daya Vieja
03063;Denia
03064;Dolores
03065;Elche/Elx
03066;Elda
03067;Facheca
03068;Famorca
03069;Finestrat
03070;Formentera del Segura
03071;Gata de Gorgos
03072;Gaianes
03073;Gorga
03074;Granja de Rocamora
03075;Castell de Guadalest, el
03076;Guardamar del Segura
03077;Fondo de les Neus, el/Hondon de las Nieves
03078;Hondon de los Frailes
03079;Ibi
03080;Jacarilla
03081;Xalo
03082;Javea/Xabia
03083;Jijona/Xixona
03084;Lorcha/Orxa, l
03085;Lliber
03086;Millena
03088;Monforte del Cid
03089;Monovar/Monover
03090;Mutxamel
03091;Murla
03092;Muro de Alcoy
03093;Novelda
03094;Nucia, la
03095;Ondara
03096;Onil
03097;Orba
03098;Orxeta
03099;Orihuela
03100;Parcent
03101;Pedreguer
03102;Pego
03103;Penaguila
03104;Petrer
03105;Pinos, el/Pinoso
03106;Planes
03107;Polop
03109;Rafal
03110;Rafol dAlmunia, el
03111;Redovan
03112;Relleu
03113;Rojales
03114;Romana, la
03115;Sagra
03116;Salinas
03117;Sanet y Negrals
03118;San Fulgencio
03119;Sant Joan dAlacant
03120;San Miguel de Salinas
03121;Santa Pola
03122;San Vicente del Raspeig/Sant Vicent del Raspeig
03123;Sax
03124;Sella
03125;Senija
03127;Tarbena
03128;Teulada
03129;Tibi
03130;Tollos
03131;Tormos
03132;Torremanzanas/Torre de les Macanes, la
03133;Torrevieja
03134;Vall dAlcala, la
03135;Vall dEbo, la
03136;Vall de Gallinera
03137;Vall de Laguar, la
03138;Verger, el
03139;Villajoyosa/Vila Joiosa, la
03140;Villena
03901;Poblets, els
03902;Pilar de la Horadada
03903;Montesinos, Los
03904;San Isidro
12001;Atzeneta del Maestrat
12002;Ain
12003;Albocasser
12004;Alcala de Xivert
12005;Alcora, l
12006;Alcudia de Veo
12007;Alfondeguilla
12008;Algimia de Almonacid
12009;Almazora/Almassora
12010;Almedijar
12011;Almenara
12012;Altura
12013;Aranuel
12014;Ares del Maestrat
12015;Argelita
12016;Artana
12017;Ayodar
12018;Azuebar
12020;Barracas
12021;Betxi
12022;Bejis
12024;Benafer
12025;Benafigos
12026;Benasal
12027;Benicarlo
12028;Benicasim/Benicassim
12029;Benlloch
12031;Borriol
12032;Borriana/Burriana
12033;Cabanes
12034;Calig
12036;Canet lo Roig
12037;Castell de Cabres
12038;Castellfort
12039;Castellnovo
12040;Castellon de la Plana/Castello de la Plana
12041;Castillo de Villamalefa
12042;Cati
12043;Caudiel
12044;Cervera del Maestre
12045;Cinctorres
12046;Cirat
